센터명,구분,주소,전화번호,FAX,lat,lon
개포119안전센터,1,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,02-529-1119,,
삼성119안전센터,1,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556,02-539-9008,37.51027919,127.0668302
세곡119안전센터,1,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882,02-451-0883,37.47044242,127.107195
수서119안전센터,1,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,02-451-0019,37.48492685,127.0928417
역삼119안전센터,1,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,02-508-1193,37.4971303,127.0424466
영동119안전센터,1,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,02-542-0119,37.52214286,127.0369343
강일119안전센터,1,서울특별시 강동구 고덕로98길 22 (강일동),02-6981-7790,02-429-0121,37.5573404,127.1796845
고덕119안전센터,1,서울특별시 강동구 양재대로156길 133 (고덕동),02-441-0119,02-426-0431,37.55716556,127.1518605
길동119안전센터,1,서울특별시 강동구 천중로 215 (길동),02-486-1727,02-487-6119,37.54097449,127.1443577
성내119안전센터,1,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,02-6981-7717,37.52945788,127.1253721
암사119안전센터,1,서울특별시 강동구 올림픽로 815 (암사동),02-3426-2119,02-429-0427,37.55398344,127.1286375
천호119안전센터,1,서울특별시 강동구 진황도로 37 (천호동),02-476-0119,02-474-1721,37.53861994,127.1313703
미아119안전센터,1,서울특별시 강북구 도봉로 125 (미아동),02-983-9111,02-981-0119,37.6200218,127.0282947
번동119안전센터,1,서울특별시 강북구 한천로 911 (번동),02-6946-0250,02-6946-0229,37.63305134,127.0381809
삼각산119안전센터,1,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119,02-984-5119,37.61986254,127.0155034
우이119안전센터,1,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119,02-998-9116,37.64095359,127.0164963
개화119안전센터,1,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185,02-2187-8248,37.57500017,126.8031461
등촌119안전센터,1,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,02-2187-8244,37.55824607,126.860047
마곡119안전센터,1,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,02-2187-8249,37.55593627,126.8207189
발산119안전센터,1,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,02-2187-8246,37.55526113,126.836861
방화119안전센터,1,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,02-2187-8247,37.57979357,126.8142816
화곡119안전센터,1,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,02-2187-8245,37.54366474,126.8452235
관악119안전센터,1,서울특별시 관악구 관악로 97 (봉천동),02-6981-8340,02-877-4119,37.47412481,126.9526855
난곡119안전센터,1,서울특별시 관악구 난곡로 243 (신림동),02-859-0119,02-839-3119,37.47568962,126.9160704
봉천119안전센터,1,서울특별시 관악구 은천로 54 (봉천동),02-886-0119,02-877-2143,37.48594895,126.941114
신림119안전센터,1,서울특별시 관악구 봉천로 202 (신림동),02-874-0119,02-878-2069,37.48963349,126.9239867
구의119안전센터,1,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768,02-454-0118,37.54482602,127.0827785
능동119안전센터,1,서울특별시 광진구 능동로 242 (능동),02-6981-6781,02-3436-8119,37.5516759,127.0769913
중곡119안전센터,1,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791,02-2201-4119,37.56694868,127.0866438
고일119안전센터,1,서울특별시 구로구 경인로 408 (고척동),02-2619-0119,02-2619-0121,37.49779283,126.8652158
고척119안전센터,1,서울특별시 구로구 고척로 195 (고척동),02-2618-3104,02-2616-0119,37.50492878,126.8548646
공단119안전센터,1,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119,02-837-7119,37.48422508,126.8984326
구로119안전센터,1,서울특별시 구로구 구로동로 175 (구로동),02-855-1119,02-864-0119,37.49422749,126.8825483
수궁119안전센터,1,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119,02-2613-0119,37.4962645,126.8295431
신도림119안전센터,1,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119,02-2671-2119,37.50732443,126.8812125
금천119안전센터,1,서울특별시 금천구 시흥대로 342(독산동),02-6981-6541,02-2187-8384,37.46413583,126.8979341
시흥119안전센터,1,서울특별시 금천구 시흥대로 45길 31(시흥동),02-6981-6551,02-2187-8385,,
공릉119안전센터,1,서울특별시 노원구 화랑로 482 (공릉동),02-6981-6979,02-975-0616,37.6190613,127.0806935
상계119안전센터,1,서울특별시 노원구 노원로26길 111 (상계동),02-6981-6969,02-3392-2736,37.65505222,127.0716247
수락119안전센터,1,서울특별시 노원구 동일로 1694 (상계동),02-6981-6999,02-939-6119,37.67974016,127.0557767
월계119안전센터,1,서울특별시 노원구 월계로 323 (월계동),02-6981-6989,02-994-0397,37.62881058,127.0563938
하계119안전센터,1,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6940,02-979-6119,,
도봉119안전센터,1,서울특별시 도봉구 노해로 152 (도봉동),02-6981-8182,02-2187-8277,37.6481984,127.026816
방학119안전센터,1,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8180,02-2187-8276,37.66400647,127.043019
쌍문119안전센터,1,서울특별시 도봉구 노해로 152 (쌍문동),02-6981-8186,02-2187-8279,37.6481984,127.026816
창동119안전센터,1,서울특별시 도봉구 해등로 25 (창동),02-6981-8184,02-2187-8278,37.64676177,127.0437347
용두119안전센터,1,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1371,02-2187-8188,37.57784869,127.0317457
장안119안전센터,1,서울특별시 동대문구 장한로 34 (장안동),02-6942-1352,02-2187-8184,37.56375425,127.0667246
전농119안전센터,1,서울특별시 동대문구 황물로 3 (전농동),02-6942-1366,02-2187-8187,37.57630879,127.0460179
청량리119안전센터,1,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1361,02-2187-8186,37.58716485,127.052317
휘경119안전센터,1,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1376,02-2187-8189,37.59065855,127.0651427
노량진119안전센터,1,서울특별시 동작구 노량진로 187 (노량진동),02-6913-7881,02-813-5119,37.51366963,126.9469439
동작119안전센터,1,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7871,02-847-0900,37.49467213,126.9177186
백운119안전센터,1,서울특별시 동작구 사당로 63 (상도동),02-6913-7895,02-816-0709,37.49480222,126.9615904
상도119안전센터,1,서울특별시 동작구 국사봉1길 17 (상도동),02-6913-7888,02-825-0693,37.49904016,126.9294746
공덕119안전센터,1,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976,02-706-0119,37.55004875,126.9597672
상암119안전센터,1,서울특별시 마포구 월드컵북로 42길 34 (상암동),02-309-5119,02-303-4119,,
서교119안전센터,1,서울특별시 마포구 양화로 60 (서교동),02-3143-2119,02-324-0119,37.55028471,126.915544
성산119안전센터,1,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119,02-309-0096,37.57060935,126.9030583
신수119안전센터,1,서울특별시 마포구 창전로 76 (신수동),02-6981-7930,02-3275-2119,37.54939385,126.9332032
염리119안전센터,1,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965,02-713-0119,,
북가좌119안전센터,1,서울특별시 서대문구 증가로 242 (북가좌동),02-6981-5539,02-6981-5537,37.5828644,126.9130037
북아현119안전센터,1,서울특별시 서대문구 북아현로 37 (북아현동),02-6981-5559,02-6981-5557,37.56065962,126.9557391
연희119안전센터,1,서울특별시 서대문구 연희로 182 (연희동),02-6981-5520,02-6981-5527,37.57320486,126.9359959
홍은119안전센터,1,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-6981-5549,02-6981-5547,37.59872329,126.9470295
반포119안전센터,1,서울특별시 서초구 사평대로 67 (반포동),02-6981-5939,02-599-0119,37.49866898,126.9917179
방배119안전센터,1,서울특별시 서초구 남부순환로 2155 (방배동),02-6981-5970,02-523-9119,37.47550034,126.98821
서초119안전센터,1,서울특별시 서초구 효령로 400 (서초동),02-6981-5985,02-3486-2729,37.48803173,127.0275974
양재119안전센터,1,서울특별시 서초구 동산로 9 (양재동),02-6981-5980,02-508-1193,37.46946351,127.0408251
우면119안전센터,1,서울특별시 서초구 남부순환로340길 49 (서초동),02-6981-5995,02-598-3063,37.47957633,127.021885
잠원119안전센터,1,서울특별시 서초구 서초중앙로29길 6 (반포동),02-6981-5990,02-594-3119,37.49907163,127.0116006
금호119안전센터,1,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771,02-2622-1779,37.55400688,127.0242086
성수119안전센터,1,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751,02-2622-1759,37.53717646,127.0606545
왕십리119안전센터,1,서울특별시 성동구 고산자로 249 (도선동),02-2622-1761,02-2622-1769,37.56207516,127.0354925
행당119안전센터,1,서울특별시 성동구 살곶이길 331(행당동),02-2622-1740,02-2622-1749,37.55387886,127.0395198
길음119안전센터,1,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372,02-2187-8208,37.60282033,127.0192113
돈암119안전센터,1,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361,02-2187-8207,37.59098793,127.0144393
장위119안전센터,1,서울특별시 성북구 한천로 640 (장위동),02-6981-7383,02-2187-8209,,
종암119안전센터,1,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7351,02-2187-8205,,
가락119안전센터,1,서울특별시 송파구 양재대로 932 (가락동),02-6981-5395,02-406-1084,37.49453769,127.1087136
거여119안전센터,1,서울특별시 송파구 마천로 329 (마천동),02-6981-5362,02-404-7119,37.49419316,127.1518409
마천119안전센터,1,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5343,02-3401-3119,37.49983345,127.1425919
방이119안전센터,1,서울특별시 송파구 강동대로 286 (방이동),02-6981-5372,02-409-8119,37.51978456,127.1365719
잠실119안전센터,1,서울특별시 송파구 석촌호수로 151 (잠실동),02-6981-5379,02-3431-2415,37.50731657,127.093893
종합운동장119안전센터,1,서울특별시 송파구 올림픽로 25 (잠실동),02-6981-5387,02-417-0119,37.51619878,127.0759406
목동119안전센터,1,서울특별시 양천구 안양천로 1139 (목동),02-6981-8765,02-2644-4727,37.5427783,126.8835528
신월119안전센터,1,서울특별시 양천구 남부순환로 448 (신월동),02-6981-8790,02-2691-4189,37.52792559,126.8330849
신정119안전센터,1,서울특별시 양천구 신월로 268 (신정동),02-6981-8760,02-2601-0112,37.52177565,126.8509559
신트리119안전센터,1,서울특별시 양천구 신정로 238 (신정동),02-6981-8795,02-2691-1134,37.51061051,126.8479853
양천119안전센터,1,서울특별시 양천구 목동서로 180 (목동),02-6981-8750,02-2651-6119,37.53023597,126.8723423
당산119안전센터,1,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119,02-2672-7118,37.53549738,126.8991927
대림119안전센터,1,서울특별시 영등포구 도림로 212 (신길동),02-846-0119,02-831-0119,37.49731349,126.9040607
신길119안전센터,1,서울특별시 영등포구 영등포로84길 31 (신길동),02-841-0119,02-834-0119,37.51042808,126.9221934
여의도119안전센터,1,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119,02-785-1191,37.51722468,126.9279738
영등포119안전센터,1,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7150,02-6981-7170,37.51843891,126.9041887
서빙고119안전센터,1,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570,02-796-1197,37.52083262,126.99501
이촌119안전센터,1,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560,02-712-0119,37.53005314,126.9534231
이태원119안전센터,1,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540,02-798-0119,37.53437336,126.9958001
한강로119안전센터,1,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520,02-792-5117,37.53410744,126.9715065
후암119안전센터,1,서울특별시 용산구 후암로 34 (후암동),02-6943-1550,02-773-1179,37.54893044,126.9778886
녹번119안전센터,1,서울특별시 은평구 은평로 245 (녹번동),02-6981-6171,02-382-0667,37.60110498,126.9351461
수색119안전센터,1,서울특별시 은평구 수색로 320 (수색동),02-6981-6191,02-307-0041,37.5852677,126.8899057
역촌119안전센터,1,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181,02-356-0674,37.60499073,126.9106696
진관119안전센터,1,서울특별시 은평구 통일로 962 (진관동),02-6981-6151,02-389-0674,37.62875652,126.9197881
세종로119안전센터,1,서울특별시 종로구 율곡로 78(운니동),02-734-0119,02-723-8119,37.57681734,126.9876493
숭인119안전센터,1,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,02-929-5289,37.57776366,127.0217066
신교119안전센터,1,서울특별시 종로구 자하문로 93 (신교동),02-737-8119,02-736-0119,37.58427892,126.9700275
신영119안전센터,1,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,02-395-2119,37.60579578,126.9608464
연건119안전센터,1,서울특별시 종로구 대학로 91 (연건동),02-747-8119,02-762-0119,37.57941428,127.0018354
종로119안전센터,1,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119,02-764-0119,37.57126625,126.9922334
망우119안전센터,1,서울특별시 중랑구 용마산로 524 (망우동),02-6981-8972,02-432-0119,37.59772583,127.1005719
면목119안전센터,1,서울특별시 중랑구 동일로 475 (면목동),02-6981-8962,02-435-0119,37.57282334,127.0798785
신내119안전센터,1,서울특별시 중랑구 신내로 183 (신내동),02-6981-8850,02-3422-1195,37.6153857,127.0948865
중화119안전센터,1,서울특별시 중랑구 동일로 783 (중화동),02-6981-8982,02-2207-0119,37.6004604,127.0793344
무학119안전센터,1,서울특별시 중구 퇴계로 394(무학동),02-6981-0159,02-2237-0693,37.56486646,127.0153786
신당119안전센터,1,서울특별시 중구 다산로8길 2 (신당동),02-6981-0199,02-2254-0119,37.55292597,127.0096408
을지로119안전센터,1,서울특별시 중구 을지로45길 43 (신당동),02-6981-0175,02-2235-0698,37.56672857,127.0120257
충무로119안전센터,1,서울특별시 중구 충무로 11 (충무로3가),02-6981-0183,02-2285-1122,37.56215624,126.9929127
회현119안전센터,1,서울특별시 중구 소공로 30 (회현동2가),02-6981-0191,02-753-0119,37.55820819,126.9833646
강남소방서,2,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7408,02-556-2119,37.51027919,127.0668302
강동소방서,2,서울특별시 강동구 성내로 39 (성내동),02-6981-7600,02-6981-7717,37.52945788,127.1253721
강북소방서,2,서울특별시 강북구 한천로 911 (번동),02-6946-0100,02-6946-0128,37.63305134,127.0381809
강서소방서,2,서울특별시 강서구 양천로 550 (등촌동),02-6981-5000,02-2187-8243,37.55824607,126.860047
관악소방서,2,서울특별시 관악구 관악로 97 (봉천동),02-6981-8200,02-877-4119,37.47412481,126.9526855
광진소방서,2,서울특별시 광진구 광나루로 480 (구의동),02-6981-6600,02-6981-6718,37.54482602,127.0827785
구로소방서,2,서울특별시 구로구 경인로 408 (고척동),02-2617-0119,02-2619-0121,37.49779283,126.8652158
금천소방서,2,서울특별시 금천구 시흥대로 342(독산동),02-6981-6479,02-2187-8380,37.46413583,126.8979341
노원소방서,2,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6800,02-979-6119,,
도봉소방서,2,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8073,02-3493-1119,37.66400647,127.043019
동대문소방서,2,서울특별시 동대문구 장한로 34 (장안동),02-6942-1200,02-2187-8180,37.56375425,127.0667246
동작소방서,2,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7770,02-848-2111,37.49467213,126.9177186
마포소방서,2,서울특별시 마포구 창전로 76 (신수동),02-6981-7800,02-716-1192,37.54939385,126.9332032
서대문소방서,2,서울특별시 서대문구 연희로 182 (연희동),02-6981-5400,02-6981-5519,37.57320486,126.9359959
서초소방서,2,서울특별시 서초구 사평대로 67 (반포동),02-6981-5811,02-592-9090,37.49866898,126.9917179
성동소방서,2,서울특별시 성동구 살곶이길 331(행당동),02-2622-1600,02-2622-1719,37.55387886,127.0395198
성북소방서,2,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7200,02-925-0119,,
송파소방서,2,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5200,02-430-8119,37.49983345,127.1425919
양천소방서,2,서울특별시 양천구 목동서로 180 (목동),02-6981-8600,02-2651-6119,37.53023597,126.8723423
영등포소방서,2,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7000,02-6981-7110,37.51843891,126.9041887
용산소방서,2,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1400,02-792-5117,37.53410744,126.9715065
은평소방서,2,서울특별시 은평구 통일로 962 (진관동),02-6981-6000,02-382-1149,37.62875652,126.9197881
종로소방서,2,서울특별시 종로구 율곡로 78(운니동),02-733-0119,02-739-0119,37.57681734,126.9876493
중랑소방서,2,서울특별시 중랑구 신내로 183 (신내동),02-6981-8800,02-3421-3911,37.6153857,127.0948865
중부소방서,2,서울특별시 중구 퇴계로 394(무학동),02-6981-0119,02-2252-1516,37.56486646,127.0153786
